Year,Month,Measurement Index,0,10,100,1100,150,20,200,300,400,5,50,500,700,900
1994,1,21,-27.4487,,-14.6084,-4.08963,,,-8.2832,-4.98661,,,,-3.07667,-3.35146,
1994,1,22,-27.3107,,-14.8715,-4.08963,,,-8.5351,-5.10231,,,,-3.11531,-3.35146,
1994,1,23,-29.5106,,-15.0745,-4.08963,,,-8.7873,-5.29515,,,,-3.15394,-3.35146,
1994,1,24,-30.5391,,-15.4416,-4.08963,,,-9.03984,-5.44944,,,,-3.21188,-3.35146,
1994,1,25,-27.5145,,-15.8925,-4.07047,,,-9.27326,-5.64236,,,,-3.26981,-3.35146,
1994,1,26,-24.3131,,-16.1604,-4.07047,,,-9.54599,-5.79671,,,,-3.30843,-3.35146,
1994,1,27,-22.7932,,-16.1398,-4.07047,,,-9.79968,-5.9897,,,,-3.38566,-3.37073,
1994,1,28,-25.4403,,-15.9748,-4.07047,,,-10.0538,-6.16345,,,,-3.42428,-3.42854,
1994,1,29,-27.5046,,-15.9336,-4.0513,,,-10.2104,-6.29864,,,,-3.46288,-3.39,
1994,1,30,-28.2059,,-16.1398,-4.0513,,,-10.3868,-6.49183,,,,-3.52079,-3.42854,
1994,2,0,-27.4522,,-16.4295,-4.0513,,,-10.5437,-6.66577,,,,-3.57869,-3.42854,
1994,2,1,-27.2358,,-16.6164,-4.0513,,,-10.7009,-6.83979,,,,-3.65589,-3.44781,
1994,2,2,-24.6591,,-16.8039,-4.0513,,,-10.878,-6.99456,,,,-3.73306,-3.46708,
1994,2,3,-26.6634,,-16.8456,-4.0513,,,-11.0553,-7.1494,,,,-3.77166,-3.46708,
1994,2,4,-28.6352,,-16.9083,-4.0513,,,-11.2132,-7.30432,,,,-3.84883,-3.50562,
1994,2,5,-27.8663,,-17.1177,-4.03214,,,-11.3712,-7.45933,,,,-3.92599,-3.50562,
1994,2,6,-28.8083,,-17.2858,-4.03214,,,-11.5691,-7.61443,,,,-4.00315,-3.52488,
1994,2,7,-24.7616,,-17.5176,-4.03214,,,-11.7078,-7.76963,,,,-4.08031,-3.54415,
1994,2,8,-21.4593,,-17.5599,-4.0513,,,-11.8865,-7.92493,,,,-4.15745,-3.56342,
1994,2,9,-22.4281,,-17.2858,-4.0513,,,-12.0257,-8.0609,,,,-4.23459,-3.62121,
1994,2,10,-22.1199,,-17.0967,-4.0513,,,-12.165,-8.21642,,,,-4.31173,-3.62121,
1994,2,11,-23.2811,,-16.9083,-4.0513,,,-12.2448,-8.35258,,,,-4.38887,-3.65973,
1994,2,12,-25.2068,,-16.8248,-4.0513,,,-12.3046,-8.48884,,,,-4.466,-3.69825,
1994,2,13,-26.1034,,-16.9083,-4.0513,,,-12.3645,-8.6252,,,,-4.54313,-3.71751,
1994,2,14,-24.6549,,-17.1177,-4.03214,,,-12.4244,-8.72266,,,,-4.62026,-3.73677,
1994,2,15,-23.3561,,-17.2227,-4.03214,,,-12.5043,-8.8592,,,,-4.69738,-3.77528,
1994,2,16,-22.7223,,-17.2017,-4.01297,,,-12.5843,-8.95679,,,,-4.77451,-3.79454,
1994,2,17,-24.5561,,-17.1807,-4.01297,,,-12.6644,-9.03491,,,,-4.85163,-3.83304,
1994,2,18,-27.2288,,-17.1597,-4.01297,,,-12.7245,-9.15216,,,,-4.92877,-3.8523,
1994,2,19,-26.3577,,-17.37,-4.01297,,,-12.7846,-9.24993,,,,-5.00589,-3.87155,
1994,2,20,-22.5979,,-17.6021,-4.03214,,,-12.8649,-9.34775,,,,-5.08303,-3.92931,
1994,2,21,-23.7909,,-17.5598,-4.01297,,,-12.9653,-9.42606,,,,-5.16015,-3.96781,
1994,2,22,-25.8584,,-17.5176,-4.01297,,,-13.0658,-9.5436,,,,-5.23729,-4.00631,
1994,2,23,-27.0108,,-17.581,-4.01297,,,-13.1262,-9.62201,,,,-5.31443,-4.02555,
1994,2,24,-26.113,,-17.7716,-4.01297,,,-13.2068,-9.70047,,,,-5.39159,-4.06405,
1994,2,25,-21.1254,,-17.9416,-4.01297,,,-13.3076,-9.81823,,,,-5.46873,-4.12179,
1994,2,26,-18.2412,,-17.8565,-4.08963,,,-13.4894,-9.99507,,,,-5.64236,-4.218,
1994,2,27,-18.8807,,-17.4544,-4.08963,,,-13.5905,-10.0934,,,,-5.73881,-4.27573,
1994,3,0,-23.9912,,-16.992,-4.0513,,,-13.5703,-10.1328,,,,-5.73881,-4.25649,
1994,3,1,-23.2195,,-16.9502,-4.01297,,,-13.5298,-10.1721,,,,-5.77741,-4.25649,
1994,3,2,-20.013,,-17.0967,-4.07047,,,-13.5501,-10.31,,,,-5.8739,-4.35269,
1994,3,3,-20.742,,-17.0129,-4.10879,,,-13.5905,-10.3889,,,,-5.9897,-4.41041,
1994,3,4,-22.4281,,-16.8665,-4.0513,,,-13.5501,-10.4283,,,,-6.02831,-4.41041,
1994,3,5,-22.0881,,-16.8875,-4.0513,,,-13.5703,-10.4678,,,,-6.08622,-4.44888,
1994,3,6,-22.0947,,-16.992,-4.08963,,,-13.6108,-10.5468,,,,-6.16345,-4.50659,
1994,3,7,-18.599,,-17.0339,-4.08963,,,-13.6108,-10.6258,,,,-6.26,-4.54507,
1994,3,8,-18.662,,-16.9293,-4.16629,,,-13.6918,-10.7048,,,,-6.35658,-4.64124,
